"Município;""0 a 4 anos"";""5 a 9 anos"";""10 a 14 anos"";""15 a 19 anos"";""20 a 29 anos"";""30 a 39 anos"";""40 a 49 anos"";""50 a 59 anos"";""60 a 69 anos"";""70 a 79 anos"";""80 anos e mais"";""Total"""
410850 General Carneiro;875;1189;1596;1471;2304;1969;1812;1387;810;444;178;14035
410855 Godoy Moreira;180;224;186;265;333;394;485;529;353;221;77;3247
410860 Goioerê;1642;2053;2318;2247;4530;4315;4191;3727;2472;1589;615;29699
410865 Goioxim;467;668;798;821;1051;1063;1032;866;460;226;65;7517
410870 Grandes Rios;442;353;484;534;940;868;916;796;536;307;161;6337
410880 Guaíra;2630;2665;2681;2385;5091;4807;4466;3477;2425;1387;580;32594
410890 Guairaçá;518;504;465;506;1048;974;826;786;456;327;120;6530
410895 Guamiranga;730;572;618;802;1496;1183;1158;959;554;286;124;8482
410900 Guapirama;367;240;273;295;634;518;595;467;325;160;75;3949
410910 Guaporema;170;104;122;224;360;318;322;268;202;136;68;2294
410920 Guaraci;360;357;388;451;882;694;805;582;469;311;134;5433
410930 Guaraniaçu;842;1046;939;1358;1891;1895;2056;1764;1207;714;287;13999
410940 Guarapuava;12366;13553;15574;16427;29865;27603;23976;19608;11542;5374;2241;178129
410950 Guaraqueçaba;536;608;770;792;1146;1244;1003;838;556;327;142;7962
410960 Guaratuba;2668;2755;2796;3046;4988;5032;4710;4472;3087;1191;439;35184
410965 Honório Serpa;422;425;480;563;768;894;802;675;445;239;61;5774
410970 Ibaiti;2214;2406;2424;2453;4718;4873;3961;3487;2280;1300;561;30677
410975 Ibema;356;510;493;613;1054;877;930;681;485;259;93;6351
410980 Ibiporã;3167;3762;4088;3957;8003;8554;7147;6351;4200;2200;899;52328
410990 Icaraíma;513;504;664;685;1281;1056;1275;1082;818;558;205;8641
411000 Iguaraçu;328;274;260;313;761;626;651;453;360;193;53;4272
411005 Iguatu;161;127;184;189;317;324;315;294;200;149;40;2300
411007 Imbaú;1065;1028;1226;1204;1882;1889;1553;1178;789;424;163;12401
411010 Imbituva;1842;2843;2982;2974;5187;4844;4096;3156;1846;900;384;31054
411020 Inácio Martins;923;1027;1102;1263;1700;1628;1482;1105;599;354;124;11307
411030 Inajá;197;178;238;294;452;451;503;345;231;167;63;3119
411040 Indianópolis;321;292;302;279;676;576;656;534;438;269;135;4478
411050 Ipiranga;1148;1181;1377;1417;2485;2405;1924;1475;896;483;191;14982
411060 Iporã;939;949;977;1101;2138;1979;1992;1974;1354;1004;477;14884
411065 Iracema do Oeste;107;168;188;178;348;317;429;350;193;171;64;2513
411070 Irati;4153;4271;4434;4762;9795;9318;8392;6904;4317;2383;975;59704
411080 Iretama;516;766;951;972;1337;1485;1605;1312;910;564;269;10687
411090 Itaguajé;387;318;346;378;718;612;600;612;315;258;96;4640
411095 Itaipulândia;615;718;840;892;1690;1543;1477;1141;820;351;151;10238
411100 Itambaracá;454;428;520;537;925;1013;973;854;577;380;192;6853
411110 Itambé;394;463;361;502;939;937;935;709;535;285;132;6192
411120 Itapejara d'Oeste;735;792;814;930;1785;1652;1584;1429;961;537;237;11456
411125 Itaperuçu;1996;2523;2787;2762;4783;4354;3593;2075;1172;486;224;26755
411130 Itaúna do Sul;240;268;261;253;515;443;427;388;257;213;85;3350
411140 Ivaí;963;1134;1339;1180;2125;2198;1747;1365;874;489;214;13628
411150 Ivaiporã;2040;2362;2030;2525;4626;4699;4596;4340;2900;1807;787;32712
411155 Ivaté;576;603;563;554;1264;1243;1183;936;539;402;149;8012
411160 Ivatuba;170;188;158;446;590;359;429;358;261;175;69;3203
411170 Jaboti;240;344;440;424;631;858;750;687;438;273;112;5197
411180 Jacarezinho;2747;3001;3087;3054;6654;6052;5247;4707;3175;1718;805;40247
411190 Jaguapitã;856;889;971;957;2188;1997;1880;1548;954;616;317;13173
411200 Jaguariaíva;2975;2853;2980;3054;5588;5707;4315;3558;2036;1012;392;34470
411210 Jandaia do Sul;1095;1413;1397;1594;3242;3060;3021;2745;1872;1178;585;21202
411220 Janiópolis;327;400;380;459;919;714;856;856;642;379;181;6113
411230 Japira;277;434;459;374;698;706;636;667;454;242;123;5070
411240 Japurá;510;555;622;620;1381;1299;1339;1243;862;508;231;9170
411250 Jardim Alegre;707;958;760;932;1619;1644;1770;1567;1168;774;292;12191
411260 Jardim Olinda;123;79;83;116;226;175;246;173;85;72;32;1410
411270 Jataizinho;854;965;1054;1143;1974;1811;1648;1408;928;497;223;12505
411275 Jesuítas;642;539;510;672;1093;1102;1396;1187;899;643;281;8964
411280 Joaquim Távora;761;835;894;797;1897;1843;1456;1290;987;523;260;11543
411290 Jundiaí do Sul;154;253;307;265;464;413;525;486;313;185;94;3459
411295 Juranda;207;533;616;616;1137;1148;1252;1050;593;396;152;7700
411300 Jussara;392;571;494;527;1128;1011;1031;806;535;332;138;6965
411310 Kaloré;283;240;202;293;626;542;662;622;450;344;175;4439
411320 Lapa;2961;3600;4186;3886;7362;7643;6512;5467;3479;1739;726;47561
411325 Laranjal;383;610;683;698;984;971;729;622;358;182;73;6293
411330 Laranjeiras do Sul;2002;2475;2645;2958;5319;4648;4197;3556;2402;1396;536;32134
411340 Leópolis;217;245;312;302;598;610;558;539;463;196;127;4167
411342 Lidianópolis;212;290;194;255;473;402;640;526;405;254;121;3772
411345 Lindoeste;344;344;352;456;662;667;811;666;526;258;104;5190
411350 Loanda;1517;1607;1719;1697;3754;3362;3227;2639;1611;1012;455;22600
411360 Lobato;280;293;351;368;679;777;677;661;302;216;85;4689
411370 Londrina;34999;36626;40020;40281;89715;89187;73145;65331;44598;23426;10923;548251
411373 Luiziana;545;630;621;571;1219;1072;1053;845;498;289;126;7469
