"Município;""0 a 4 anos"";""5 a 9 anos"";""10 a 14 anos"";""15 a 19 anos"";""20 a 29 anos"";""30 a 39 anos"";""40 a 49 anos"";""50 a 59 anos"";""60 a 69 anos"";""70 a 79 anos"";""80 anos e mais"";""Total"""
210370 Cururupu;2054;3210;3583;2921;4702;4882;3332;2870;1620;1216;523;30913
210375 Davinópolis;1111;1359;1609;1295;2100;1938;1136;851;660;407;187;12653
210380 Dom Pedro;2252;2258;2229;2229;3628;3705;2514;1750;1212;758;352;22887
210390 Duque Bacelar;1131;1459;1294;1217;1860;1463;1044;754;470;275;118;11085
210400 Esperantinópolis;1929;1854;1508;1674;2685;2479;1725;1369;939;571;297;17030
210405 Estreito;4664;3983;3658;3526;8029;7390;4334;2588;1539;647;272;40630
210407 Feira Nova do Maranhão;709;856;1009;973;1216;1281;861;660;442;227;87;8321
210408 Fernando Falcão;1326;1344;1151;1197;1682;1398;811;574;328;173;90;10074
210409 Formosa da Serra Negra;1564;1903;1948;2311;3849;2803;1809;1130;759;358;138;18572
210410 Fortaleza dos Nogueiras;1096;1308;1361;1364;2279;1868;1222;882;577;293;121;12371
210420 Fortuna;1697;1804;1543;1538;2192;2124;1475;1221;932;448;266;15240
210430 Godofredo Viana;1288;1109;1063;1117;2353;1769;1363;741;418;163;79;11463
210440 Gonçalves Dias;1796;1932;1756;1731;2646;2714;1673;1434;991;634;274;17581
210450 Governador Archer;1141;1151;1045;952;1750;1639;986;849;596;320;166;10595
210455 Governador Edison Lobão;1742;1937;1991;1642;3130;2937;1728;1279;805;398;157;17746
210460 Governador Eugênio Barros;1857;1788;1823;1678;2563;2407;1481;1199;905;476;278;16455
210462 Governador Luiz Rocha;607;780;926;819;1213;1225;701;608;404;245;104;7632
210465 Governador Newton Bello;1155;1290;1102;1082;1586;1528;873;643;388;242;119;10008
210467 Governador Nunes Freire;2836;3139;3337;2648;4373;3434;1994;1665;985;491;216;25118
210470 Graça Aranha;586;551;620;538;968;987;616;545;411;217;102;6141
210480 Grajaú;8260;8200;7146;6909;12541;9772;6178;4009;2615;1392;606;67628
210490 Guimarães;920;1260;1162;964;1868;1749;1333;1040;730;550;251;11827
210500 Humberto de Campos;3269;3963;3609;3022;4505;3556;2422;1580;1132;602;317;27977
210510 Icatu;2877;2953;3178;2872;4651;3766;2338;1644;1125;641;406;26451
210515 Igarapé do Meio;1717;1787;1515;1348;2420;2064;1037;914;527;307;141;13777
210520 Igarapé Grande;1125;1151;1124;959;1846;1917;1221;1025;703;368;189;11628
210530 Imperatriz;21614;22716;24455;23415;45039;44979;29340;20491;11901;6354;2818;253122
210535 Itaipava do Grajaú;2080;2013;1811;1732;2836;1996;1312;868;582;268;109;15607
210540 Itapecuru Mirim;7234;6820;7406;6044;12148;10033;6408;4841;3074;1623;805;66436
210542 Itinga do Maranhão;2525;2689;2867;2643;4071;3871;2758;2006;1241;553;219;25443
210545 Jatobá;1260;1039;1024;1084;1596;1432;921;702;469;189;108;9824
210547 Jenipapo dos Vieiras;2057;2145;1657;1572;2698;2618;1371;807;577;418;205;16125
210550 João Lisboa;2100;2445;2766;2307;3805;3629;2275;1708;1223;668;310;23236
210560 Joselândia;1611;1759;1666;1611;2554;2356;1487;1249;855;477;208;15833
210565 Junco do Maranhão;323;368;426;413;532;538;317;226;161;85;38;3427
210570 Lago da Pedra;4512;5360;5445;5250;8264;7331;4855;3580;2400;1351;643;48991
210580 Lago do Junco;970;1230;1180;1049;1785;1572;1016;909;441;304;145;10601
210594 Lago dos Rodrigues;735;865;921;895;1248;1360;907;769;524;335;156;8715
210590 Lago Verde;1449;2187;2041;1510;2525;2419;1292;1134;745;386;207;15895
210592 Lagoa do Mato;915;1233;1163;1110;1966;1723;1071;884;542;317;100;11024
210596 Lagoa Grande do Maranhão;1129;1487;1351;1249;1914;1483;1025;723;465;193;90;11109
210598 Lajeado Novo;757;800;649;714;1232;1115;805;609;371;222;85;7359
210600 Lima Campos;938;1280;1168;923;1866;1772;1187;1137;713;412;247;11643
210610 Loreto;955;1232;1192;1245;2357;1672;1182;997;556;334;146;11868
210620 Luís Domingues;738;707;702;619;1317;1008;678;496;261;182;81;6789
210630 Magalhães de Almeida;1861;1981;1998;1884;3515;3129;2010;1240;926;483;239;19266
210632 Maracaçumé;2652;2555;2419;2194;3420;2933;1817;1231;914;497;181;20813
210635 Marajá do Sena;862;988;959;931;1244;1134;746;461;209;87;33;7654
210637 Maranhãozinho;1222;1304;1604;1606;3309;2751;1837;1169;578;241;112;15733
210640 Mata Roma;1838;2124;1935;1543;2814;2443;1329;1071;689;418;172;16376
210650 Matinha;2560;2393;2184;2224;3809;3544;2342;1776;1008;674;308;22822
210660 Matões;3606;4082;4068;3185;4936;4638;3000;2389;1664;1058;361;32987
210663 Matões do Norte;1279;1729;2007;1664;3141;2722;1475;1117;680;238;116;16168
210667 Milagres do Maranhão;771;1065;1124;823;1364;1276;641;539;388;201;94;8286
210670 Mirador;2040;2160;2364;2381;3430;2861;1923;1552;1060;576;248;20595
210675 Miranda do Norte;2372;2459;2932;2556;5349;5345;2638;1879;1234;521;220;27505
210680 Mirinzal;1148;1694;1621;1389;2351;2282;1635;1130;686;444;250;14630
210690 Monção;3586;3997;3839;3705;5633;4531;2910;2160;1453;701;317;32832
210700 Montes Altos;723;1022;1052;904;1329;1353;1024;689;481;294;155;9026
210710 Morros;1941;2183;2412;2283;3386;2569;1622;1110;809;428;197;18940
210720 Nina Rodrigues;1588;1880;1818;1635;2489;1790;1163;757;570;224;98;14012
210725 Nova Colinas;549;568;637;569;848;737;498;390;248;145;55;5244
210730 Nova Iorque;454;478;439;465;712;618;432;398;332;168;91;4587
